<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
18/09/18,110490,110520,110410,110410
18/09/18,110430,110430,110390,110390
18/09/18,110410,110460,110410,110410
18/09/18,110410,110420,110380,110420
18/09/18,110410,110430,110400,110420
18/09/18,110400,110440,110400,110430
18/09/18,110430,110490,110400,110420
18/09/18,110430,110440,110300,110420
18/09/18,110510,110600,110500,110570
18/09/18,110560,110610,110560,110590
18/09/18,110600,110600,110530,110540
18/09/18,110500,110500,110470,110480
18/09/18,110470,110470,110430,110440
18/09/18,110440,110460,110440,110460
18/09/18,110460,110460,110430,110430
18/09/18,110460,110460,110400,110430
18/09/18,110420,110440,110380,110380
18/09/18,110380,110410,110350,110360
18/09/18,110360,110360,110350,110350
18/09/18,110360,110430,110350,110400
18/09/18,110430,110450,110390,110390
18/09/18,110440,110450,110420,110420
18/09/18,110380,110380,110380,110380
18/09/18,110440,110460,110390,110390
18/09/18,110440,110460,110420,110420
18/09/18,110420,110420,110410,110410
18/09/18,110400,110400,110380,110380
18/09/18,110360,110380,110350,110380
18/09/18,110380,110390,110380,110390
18/09/18,110370,110420,110370,110420
18/09/18,110380,110380,110340,110340
18/09/18,110320,110350,110320,110350
18/09/18,110350,110460,110320,110350
18/09/18,110310,110310,110300,110310
18/09/18,110340,110340,110340,110340
18/09/18,110310,110310,110300,110300
18/09/18,110300,110300,110270,110270
18/09/18,110280,110280,110270,110280
18/09/18,110280,110280,110260,110260
18/09/18,110280,110280,110260,110280
18/09/18,110290,110310,110290,110310
18/09/18,110310,110310,110290,110290
18/09/18,110280,110340,110280,110310
18/09/18,110320,110330,110300,110330
18/09/18,110290,110300,110290,110300
18/09/18,110320,110320,110300,110300
18/09/18,110340,110340,110330,110340
18/09/18,110330,110350,110330,110350
18/09/18,110330,110330,110330,110330
18/09/18,110330,110330,110330,110330
18/09/18,110300,110320,110300,110320
18/09/18,110280,110280,110280,110280
18/09/18,110330,110330,110280,110280
18/09/18,110280,110280,110240,110240
18/09/18,110240,110240,110220,110240
18/09/18,110250,110260,110230,110260
18/09/18,110240,110240,110230,110230
18/09/18,110230,110240,110220,110240
18/09/18,110240,110240,110230,110230
18/09/18,110220,110230,110180,110220
18/09/18,110230,110240,110220,110220
18/09/18,110230,110260,110230,110250
18/09/18,110260,110260,110240,110250
18/09/18,110260,110260,110170,110170
18/09/18,110200,110220,110170,110190
18/09/18,110220,110220,110180,110180
18/09/18,110200,110220,110200,110220
18/09/18,110190,110190,110180,110180
18/09/18,110180,110200,110180,110200
18/09/18,110200,110200,110170,110180
18/09/18,110200,110200,110170,110170
18/09/18,110180,110210,110180,110210
18/09/18,110230,110230,110180,110180
18/09/18,110180,110180,110180,110180
18/09/18,110190,110190,110140,110140
18/09/18,110140,110160,110120,110120
18/09/18,110140,110150,110120,110120
18/09/18,110140,110140,110110,110130
18/09/18,110150,110150,110120,110130
18/09/18,110130,110150,110130,110140
18/09/18,110140,110150,110130,110150
18/09/18,110160,110200,110160,110180
18/09/18,110200,110200,110190,110200
18/09/18,110200,110200,110180,110180
18/09/18,110180,110180,110170,110170
18/09/18,110180,110180,110150,110150
18/09/18,110150,110160,110150,110160
18/09/18,110140,110140,110140,110140
18/09/18,110130,110140,110100,110100
18/09/18,110130,110130,110100,110100
18/09/18,110100,110100,110100,110100
18/09/18,110090,110090,110020,110040
18/09/18,110060,110080,110050,110080
18/09/18,110060,110160,110060,110120
18/09/18,110150,110150,110100,110150
18/09/18,110110,110130,110060,110060
18/09/18,110060,110090,110060,110090
18/09/18,110110,110110,110080,110080
18/09/18,110080,110080,110070,110070
18/09/18,110110,110110,110080,110080
18/09/18,110120,110130,110120,110130
18/09/18,110170,110180,110130,110170
18/09/18,110170,110170,110140,110140
18/09/18,110180,110190,110140,110170
